handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,retweet_count,favorite_count,cleaned_text,x,y,favorite_count_log,scaled_retweet,theme,text_sentiment,text_sentiment_score
realDonaldTrump,Thank you Iowa! #ImWithYou https://t.co/3BIF6jBTkk,False,,2016-08-27 21:27:08,,,False,5933,19460,Thank you Iowa! #ImWithYou ,3.0701125,4.3184085,9.876167741881165,18.103315327300557,Engagement,positive,0.9795849323272705
HillaryClinton,A must read today: The NYT digs deep into Donald Trump and his father's history of denying housing to blacks. https://t.co/c5GxvRQkQJ,True,Yamiche,2016-08-27 19:04:30,,,False,3109,3530,A must read today: The NYT digs deep into Donald Trump and his father's history of denying housing to blacks. ,7.6081557,-0.24213292,8.169336395928386,14.595094367393703,Endorsement,neutral,0.6595030426979065
realDonaldTrump,Just landed in Iowa to attend a great event in honor of wonderful Senator @JoniErnst. Look forward to being with all of my friends.,False,,2016-08-27 18:47:50,,,False,4413,17915,Just landed in Iowa to attend a great event in honor of wonderful Senator @JoniErnst. Look forward to being with all of my friends.,4.372871,-3.0057764,9.793449447327191,16.4025476906599,Endorsement,positive,0.9905303120613098
HillaryClinton,"If Trump doesn’t see all Americans or respect all Americans, how can he serve all Americans? #StrongerTogether https://t.co/SDvVDRhC0e",True,HillaryForGA,2016-08-27 18:26:50,,,False,2058,4670,"If Trump doesn’t see all Americans or respect all Americans, how can he serve all Americans? #StrongerTogether ",1.8687772,3.2522526,8.449128460502108,12.719844149824977,Engagement,negative,0.6350640654563904
HillaryClinton,Helping small businesses succeed is about more than policy—it's personal. https://t.co/mHmnin9sOR https://t.co/x0HTkkomBQ,False,,2016-08-27 18:11:57,,,False,1914,6187,Helping small businesses succeed is about more than policy—it's personal.  ,5.277902,1.4406202,8.730367211692958,12.415969711992576,Endorsement,positive,0.7990131974220276
realDonaldTrump,"My condolences to Dwyane Wade and his family, on the loss of Nykea Aldridge. They are in my thoughts and prayers.",False,,2016-08-27 17:48:47,,,False,9157,31598,"My condolences to Dwyane Wade and his family, on the loss of Nykea Aldridge. They are in my thoughts and prayers.",4.7523704,-3.8315053,10.360880753504652,20.92109467124834,Endorsement,neutral,0.613250195980072
HillaryClinton,"You can learn a lot about a person by the company they keep.

Here's some of the company Trump keeps: https://t.co/1CjVayZG54",False,,2016-08-27 16:38:24,,,False,2486,4631,"You can learn a lot about a person by the company they keep.

Here's some of the company Trump keeps: ",4.9641137,3.2073317,8.440744019252831,13.546706079686377,Social,neutral,0.8203244209289551
realDonaldTrump,Dwyane Wade's cousin was just shot and killed walking her baby in Chicago. Just what I have been saying. African-Americans will VOTE TRUMP!,False,,2016-08-27 16:26:08,,,False,9419,28129,Dwyane Wade's cousin was just shot and killed walking her baby in Chicago. Just what I have been saying. African-Americans will VOTE TRUMP!,4.8760443,3.2100854,10.244591901483902,21.118752748122773,Social,negative,0.6773331761360168
realDonaldTrump,"""@GoldJazz559: #BlackMenForBernie Leader: #Hillary2016 ‘No Regard For Black Race’ https://t.co/m8952Ly3Jb via @dailycaller #BlacksForTrump",False,,2016-08-27 15:18:52,,,False,4626,10727,"""@GoldJazz559: #BlackMenForBernie Leader: #Hillary2016 ‘No Regard For Black Race’  via @dailycaller #BlacksForTrump",5.1704025,4.1828656,9.280612424961515,16.66230997236323,Opposition,neutral,0.8487772941589355
realDonaldTrump,"""@DiamondandSilk: Crooked Hillary getting desperate. On TV bashing Trump. @CNN, she forgot how she said a KKK member was her mentor.",False,,2016-08-27 15:10:10,,,False,9261,22512,"""@DiamondandSilk: Crooked Hillary getting desperate. On TV bashing Trump. @CNN, she forgot how she said a KKK member was her mentor.",7.1874843,-0.7719494,10.021848199120974,21.0,Endorsement,negative,0.8561586141586304
realDonaldTrump,Heroin overdoses are taking over our children and others in the MIDWEST. Coming in from our southern border. We need strong border &amp; WALL!,False,,2016-08-27 14:17:14,,,False,11641,35050,Heroin overdoses are taking over our children and others in the MIDWEST. Coming in from our southern border. We need strong border &amp; WALL!,4.9062448,3.1907425,10.464559422726214,22.663662616111132,Social,negative,0.8929325938224792
HillaryClinton,It's Women's Equality Day. Donald Trump can't say he treats women with respect https://t.co/Rq8TFnXNev,True,TheBriefing2016,2016-08-27 02:37:48,,,False,2179,3493,It's Women's Equality Day. Donald Trump can't say he treats women with respect ,4.929547,3.2408109,8.158802490694002,12.964399639206174,Social,negative,0.6424805521965027
realDonaldTrump,"New polls - join the MOVEMENT today.
https://t.co/3KWOl20zMm #ImWithYou https://t.co/numII7W99T",False,,2016-08-27 00:32:59,,,False,11925,27151,"New polls - join the MOVEMENT today.
 #ImWithYou ",4.9393053,3.2402468,10.209205987474007,22.846488710267337,Social,positive,0.5297644138336182
realDonaldTrump,Join us via our new #AmericaFirst APP! #TrumpPence16 https://t.co/FccLQSCkDY https://t.co/0angXB2BrI,False,,2016-08-26 23:59:43,,,False,4833,12694,Join us via our new #AmericaFirst APP! #TrumpPence16  ,2.869576,3.609235,9.448963494138779,16.90722238363271,Engagement,positive,0.6953872442245483
realDonaldTrump,"Will be in Phoenix, Arizona on Wednesday. Changing venue to much larger one. Demand is unreal. Polls looking great! #ImWithYou",False,,2016-08-26 23:54:09,,,False,7502,23594,"Will be in Phoenix, Arizona on Wednesday. Changing venue to much larger one. Demand is unreal. Polls looking great! #ImWithYou",4.9230003,3.1288905,10.068790104160488,19.57607799237964,Social,positive,0.9519827365875244
HillaryClinton,Happy National Dog Day! https://t.co/qmpQsNQxGL,False,,2016-08-26 23:21:16,,,False,3928,18183,Happy National Dog Day! ,7.234169,-2.2619486,9.808297365532379,15.778189208047621,Endorsement,positive,0.9850039482116699
realDonaldTrump,"Thank you @TeamTrump Florida. Keep me updated, and lets get those 100,000 registered voters!
#MakeAmericaGreatAgain  https://t.co/lseAAqxjA9",False,,2016-08-26 23:11:22,,,True,5135,14682,"Thank you @TeamTrump Florida. Keep me updated, and lets get those 100,000 registered voters!
#MakeAmericaGreatAgain  ",4.755977,4.5161123,9.594445640962938,17.252292630939543,Opposition,positive,0.9653748273849487
realDonaldTrump,"I will be interviewed by @kimguilfoyle 
at 7pm on @FoxNews. #Enjoy!",False,,2016-08-26 22:59:30,,,False,2482,10737,"I will be interviewed by @kimguilfoyle 
at 7pm on @FoxNews. #Enjoy!",4.9339976,3.2326753,9.281544130982514,13.539436582138194,Social,positive,0.8474001288414001
HillaryClinton,"Making it easier to live the American Dream means making it easier to start and grow a small business.
https://t.co/mOSa1W5Pyl",False,,2016-08-26 22:03:12,,,False,1900,5129,"Making it easier to live the American Dream means making it easier to start and grow a small business.
",4.0963554,-4.1739926,8.542860938164814,12.38562329630171,Endorsement,positive,0.5382484197616577
HillaryClinton,"Daughter, business owner, and immigrant: Meet Luisa—chaser of the American Dream.
https://t.co/yhGwROb937",False,,2016-08-26 21:09:07,,,False,1648,4792,"Daughter, business owner, and immigrant: Meet Luisa—chaser of the American Dream.
",6.9760747,-1.0364075,8.474911799159631,11.811881167248977,Security,positive,0.7159280180931091
HillaryClinton,Happy #WomensEqualityDay from @realDonaldTrump. https://t.co/YfUdtygL4h,False,,2016-08-26 19:59:18,,,False,2980,5436,Happy #WomensEqualityDay from @realDonaldTrump. ,10.065132,-0.8047487,8.600982717145921,14.390374225457732,Appreciation,positive,0.9868860244750977
realDonaldTrump,Army training slide lists Hillary Clinton as insider threat: https://t.co/CQTSo2ETJF,False,,2016-08-26 19:26:16,,,False,8609,17210,Army training slide lists Hillary Clinton as insider threat: ,4.314597,-3.119643,9.75330399326998,20.495140628899676,Endorsement,negative,0.644054114818573
HillaryClinton,"So what has the @ClintonFdn been up to? Helping millions of people get more affordable medicine to treat HIV/AIDS.
https://t.co/fhwF7iKUXp",False,,2016-08-26 19:22:56,,,False,3159,7260,"So what has the @ClintonFdn been up to? Helping millions of people get more affordable medicine to treat HIV/AIDS.
",5.3863206,0.7616063,8.890272839380247,14.672919739526245,Endorsement,negative,0.5379183292388916
realDonaldTrump,Meet the ‘Trumpocrats’: Lifelong Democrats Breaking w/ Party Over Hillary to Support Donald Trump for President: https://t.co/g2N3JJWV8a,False,,2016-08-26 19:21:22,,,False,7986,19172,Meet the ‘Trumpocrats’: Lifelong Democrats Breaking w/ Party Over Hillary to Support Donald Trump for President: ,5.895368,-0.067416705,9.861258318318392,19.98832652115354,Security,neutral,0.7428812980651855
realDonaldTrump,"""Hillary Clinton Deleted Emails Using Program Intended To Prevent Recovery"" #CrookedHillary https://t.co/D0MeBJXBwN",False,,2016-08-26 19:18:15,,,False,8405,16274,"""Hillary Clinton Deleted Emails Using Program Intended To Prevent Recovery"" #CrookedHillary ",5.14551,4.124277,9.69738546707677,20.33195965517617,Opposition,negative,0.8120314478874207
HillaryClinton,"Nearly 100 years ago, women broke down barriers to the ballot box, moving us closer to a more equal nation. Let's finish what they started.",True,POTUS,2016-08-26 18:55:26,,,False,24215,70158,"Nearly 100 years ago, women broke down barriers to the ballot box, moving us closer to a more equal nation. Let's finish what they started.",2.0929215,3.084539,11.158519373808797,28.930869821233145,Engagement,positive,0.7233086228370667
HillaryClinton,"""human rights are women’s rights &amp; women’s rights are human rights."" - @HillaryClinton #WomensEqualityDay 👸🏽👸🏿👸🏻👸🏾👸🏼 https://t.co/gxD9wF8iwt",True,tyleroakley,2016-08-26 17:30:40,,,False,6706,18479,"""human rights are women’s rights &amp; women’s rights are human rights."" - @HillaryClinton #WomensEqualityDay 👸🏽👸🏿👸🏻👸🏾👸🏼 ",5.700633,2.5492334,9.824444345195674,18.857662104727694,Endorsement,positive,0.6965895295143127
realDonaldTrump,"How quickly people forget that Crooked Hillary called African-American youth ""SUPER PREDATORS"" - Has she apologized?",False,,2016-08-26 17:14:09,,,False,13148,28591,"How quickly people forget that Crooked Hillary called African-American youth ""SUPER PREDATORS"" - Has she apologized?",4.487106,-3.8518136,10.26088223739921,23.60224052270472,Endorsement,negative,0.8226284384727478
HillaryClinton,"Yes, @realDonaldTrump really did say all of these hateful things. https://t.co/gEvIU8Ugmc",False,,2016-08-26 17:04:19,,,False,1819,3306,"Yes, @realDonaldTrump really did say all of these hateful things. ",4.5964475,-3.8154025,8.103796712981794,12.207054953820638,Endorsement,negative,0.9189411997795105
HillaryClinton,"On #WomensEqualityDay, celebrate your right to vote by making sure you're ready to exercise it: https://t.co/oQJdlV15S2",False,,2016-08-26 16:36:16,HillaryClinton,7.69209001464574e+17,False,1293,2727,"On #WomensEqualityDay, celebrate your right to vote by making sure you're ready to exercise it: ",5.3085556,-0.63080263,7.911324018963353,10.894304462094905,Security,positive,0.9043896198272705
HillaryClinton,"Even as we celebrate the 19th Amendment, remember the struggle for voting rights continued for women of color. That fight continues today.",False,,2016-08-26 16:24:51,HillaryClinton,7.692070180453212e+17,False,1715,4107,"Even as we celebrate the 19th Amendment, remember the struggle for voting rights continued for women of color. That fight continues today.",9.871336,2.4291327,8.32069157104845,11.96983162673688,Opposition,neutral,0.6057878732681274
HillaryClinton,"On this day in 1920, the 19th Amendment was adopted and many women won the right to vote. Let's break more ceilings. https://t.co/AGskZ5jhfK",False,,2016-08-26 16:16:58,,,False,9597,24348,"On this day in 1920, the 19th Amendment was adopted and many women won the right to vote. Let's break more ceilings. ",4.4318995,4.3870816,10.100246059905626,21.250957280981375,Opposition,positive,0.7252881526947021
realDonaldTrump,I am very proud to have brought the subject of illegal immigration back into the discussion. Such a big problem for our country-I will solve,False,,2016-08-26 16:01:03,,,False,9150,32425,I am very proud to have brought the subject of illegal immigration back into the discussion. Such a big problem for our country-I will solve,7.25861,1.968869,10.386715849110015,20.915762320933673,Endorsement,positive,0.5867361426353455
HillaryClinton,"We've made our union more perfect because people refused to be kept on the sidelines. Onward. #WomensEqualityDay
https://t.co/QugGOqb2yl",False,,2016-08-26 15:28:44,,,False,3849,7470,"We've made our union more perfect because people refused to be kept on the sidelines. Onward. #WomensEqualityDay
",4.721912,4.46986,8.918784137975802,15.671694980697398,Opposition,positive,0.9571864604949951
realDonaldTrump,Wonderful @pastormarkburns was attacked viciously and unfairly on @MSNBC by crazy @morningmika on low ratings @Morning_Joe. Apologize!,False,,2016-08-26 14:50:06,,,False,5733,15118,Wonderful @pastormarkburns was attacked viciously and unfairly on @MSNBC by crazy @morningmika on low ratings @Morning_Joe. Apologize!,5.1032696,4.193768,9.623707509980202,17.897566328519055,Opposition,negative,0.7635396718978882
realDonaldTrump,"What do African-Americans and Hispanics have to lose by going with me. Look at the poverty, crime and educational statistics. I will fix it!",False,,2016-08-26 14:20:55,,,False,10711,31523,"What do African-Americans and Hispanics have to lose by going with me. Look at the poverty, crime and educational statistics. I will fix it!",9.644681,2.1716464,10.35850443947354,22.043303139198727,Opposition,negative,0.888142466545105
HillaryClinton,"Countless women fought to win the right to vote. On the anniversary of the 19th Amendment's adoption, let's recommit to protecting it. -H",False,,2016-08-26 14:05:52,,,False,4105,11955,"Countless women fought to win the right to vote. On the anniversary of the 19th Amendment's adoption, let's recommit to protecting it. -H",4.626514,-3.7740512,9.388988523403828,16.01171017739321,Endorsement,positive,0.6837260723114014
realDonaldTrump,"Crooked Hillary will NEVER be able to solve the problems of poverty, education and safety within the African-American &amp; Hispanic communities",False,,2016-08-26 13:50:42,,,False,9177,28913,"Crooked Hillary will NEVER be able to solve the problems of poverty, education and safety within the African-American &amp; Hispanic communities",4.4470353,-3.9835012,10.272081185868387,20.936314999392486,Endorsement,negative,0.890433669090271
HillaryClinton,".@HillaryClinton: From the start, Trump has built his campaign on prejudice and paranoia https://t.co/7iAKFenZLo",True,Morning_Joe,2016-08-26 13:17:06,,,False,1536,2939,".@HillaryClinton: From the start, Trump has built his campaign on prejudice and paranoia ",3.97634,0.5987984,7.986164860332727,11.537996562459266,Endorsement,negative,0.8284942507743835
HillaryClinton,Republican leaders should take a look at who they're standing with. https://t.co/1sXhWgXx02,False,,2016-08-26 13:08:34,,,False,1532,3320,Republican leaders should take a look at who they're standing with. ,6.074017,-0.37804294,8.108021221376747,11.527972233726738,Security,neutral,0.5722520351409912
realDonaldTrump,"The Clinton's are the real predators...
https://t.co/Fr0gFtZVVz",False,,2016-08-26 12:05:57,,,False,7217,17584,"The Clinton's are the real predators...
",10.316639,0.02654673,9.774801544908083,19.324973264858944,Opposition,negative,0.8399291634559631
realDonaldTrump,"""@Lewenskimo: Your opponent has run out of ideas, now resorts to personal attacks on you. Every Amercan knows, you represent HOPE!!""",False,,2016-08-26 03:59:54,,,False,5578,17946,"""@Lewenskimo: Your opponent has run out of ideas, now resorts to personal attacks on you. Every Amercan knows, you represent HOPE!!""",4.3025494,0.9904661,9.795178249029277,17.734794887106748,Endorsement,negative,0.4539610743522644
HillaryClinton,Donald Trump’s campaign of prejudice and paranoia is unlike anything we’ve seen—and it’s profoundly dangerous. https://t.co/av4EtesW6l,False,,2016-08-26 03:09:25,,,False,3044,7002,Donald Trump’s campaign of prejudice and paranoia is unlike anything we’ve seen—and it’s profoundly dangerous. ,5.1944685,0.6524585,8.854093907655518,14.492663748234923,Endorsement,negative,0.9233261942863464
realDonaldTrump,"""Hillary Clinton needs to address the racist undertones of her 2008 campaign."" #FlashbackFriday https://t.co/MJQp0rcnzH",False,,2016-08-26 02:58:51,,,False,16769,32212,"""Hillary Clinton needs to address the racist undertones of her 2008 campaign."" #FlashbackFriday ",4.879793,-1.0620528,10.380125376764875,25.59582044396857,Security,negative,0.7243982553482056
realDonaldTrump,"""@DonaldJTrumpJr: Company Gouging Price Of EpiPens Is A Clinton Foundation Donor And Partner https://t.co/HHlNGnlGMN via dailycaller""",False,,2016-08-26 02:47:34,,,False,9216,16777,"""@DonaldJTrumpJr: Company Gouging Price Of EpiPens Is A Clinton Foundation Donor And Partner  via dailycaller""",6.705554,4.1524444,9.72782378340624,20.96593115367117,Opposition,negative,0.5703654289245605
realDonaldTrump,"""@foxnation: Flashback: Hillary Clinton Praised Former KKK Member Robert Byrd as 'Friend and Mentor': https://t.co/e0Hb2rLb1X""",False,,2016-08-26 02:46:34,,,False,8555,17023,"""@foxnation: Flashback: Hillary Clinton Praised Former KKK Member Robert Byrd as 'Friend and Mentor': ",5.05523,4.060332,9.742379392141371,20.45219875809009,Opposition,neutral,0.8846691250801086
realDonaldTrump,"CLINTON CORRUPTION AND HER SABOTAGE OF THE INNER CITIES. 
Full speech transcript: https://t.co/npswT6lbg3",False,,2016-08-26 02:45:11,,,False,5276,13217,"CLINTON CORRUPTION AND HER SABOTAGE OF THE INNER CITIES. 
Full speech transcript: ",2.7377987,4.225477,9.489334816030398,17.408777004948107,Engagement,negative,0.5540974140167236
realDonaldTrump,"Hillary Clinton only knows how to make a speech when it is a hit on me. No policy, and always very short (stamina). Media gives her a pass!",False,,2016-08-26 02:40:04,,,False,9505,27857,"Hillary Clinton only knows how to make a speech when it is a hit on me. No policy, and always very short (stamina). Media gives her a pass!",5.6306496,-1.5102055,10.234875457247977,21.182832904322293,Security,negative,0.7167538404464722
HillaryClinton,"Trump's bigoted rhetoric and policy proposals aren't a dog whistle. We hear him loud and clear.
https://t.co/fPLy9wtTrM",False,,2016-08-25 23:53:23,,,False,6030,11280,"Trump's bigoted rhetoric and policy proposals aren't a dog whistle. We hear him loud and clear.
",5.616202,-1.5736533,9.33087517360492,18.201440935707506,Security,negative,0.8286983966827393
HillaryClinton,"Enjoying a quiet moment at @GrandTetonNPS back in 1995.

Happy #NPS100! https://t.co/of8cMaj8mR",True,HFA,2016-08-25 23:18:29,,,False,768,3793,"Enjoying a quiet moment at @GrandTetonNPS back in 1995.

Happy #NPS100! ",5.604994,-1.5570018,8.24117615049496,9.157713940426655,Security,positive,0.9729466438293457
HillaryClinton,It's not a coincidence that white supremacists proudly support Trump. https://t.co/3OX4I1GSkr,False,,2016-08-25 22:11:54,,,False,2799,6110,It's not a coincidence that white supremacists proudly support Trump. ,6.521483,4.54401,8.717845704894916,14.092919336067236,Opposition,negative,0.7501372694969177
realDonaldTrump,"HRC is using the oldest play in the Dem playbook- when their policies fail, they are left w/this one tired argument!
https://t.co/FNbCMmwLTn",False,,2016-08-25 21:25:15,,,False,10865,24015,"HRC is using the oldest play in the Dem playbook- when their policies fail, they are left w/this one tired argument!
",4.9135356,-1.2473898,10.086475553873242,22.148445148327994,Security,negative,0.8756266236305237
HillaryClinton,Trump asked what the African American community has to lose by voting for him. @MarlonDMarshall's response: https://t.co/ZJtX7d49bM,False,,2016-08-25 21:06:31,,,False,1400,2935,Trump asked what the African American community has to lose by voting for him. @MarlonDMarshall's response: ,2.9468803,3.6611202,7.984803389734406,11.18688942081397,Engagement,neutral,0.6792700886726379
realDonaldTrump,Hillary Clinton is using race-baiting to try to get African-American voters- but they know she is all talk and NO ACTION!,False,,2016-08-25 20:45:38,,,False,10314,29489,Hillary Clinton is using race-baiting to try to get African-American voters- but they know she is all talk and NO ACTION!,5.9313903,-0.091957144,10.291806501809322,21.767524520732536,Security,negative,0.8226048350334167
HillaryClinton,"@Lesdoggg, no one deserves this—least of all someone who brings us so much joy. I'm with you. -H",False,,2016-08-25 20:38:47,Lesdoggg,,False,7944,27446,"@Lesdoggg, no one deserves this—least of all someone who brings us so much joy. I'm with you. -H",5.5376005,-0.46752486,10.220012151347644,19.953224019001322,Security,positive,0.8706473708152771
realDonaldTrump,Hillary Clinton's short speech is pandering to the worst instincts in our society. She should be ashamed of herself!,False,,2016-08-25 20:14:20,,,False,9732,28750,Hillary Clinton's short speech is pandering to the worst instincts in our society. She should be ashamed of herself!,3.9549825,-0.5836614,10.266427828229292,21.35013866784285,Security,negative,0.9539154767990112
realDonaldTrump,Just watched recap of #CrookedHillary's speech. Very short and lies. She is the only one fear-mongering!,False,,2016-08-25 20:11:41,,,False,8111,22585,Just watched recap of #CrookedHillary's speech. Very short and lies. She is the only one fear-mongering!,7.338396,2.9200137,10.025085524283616,20.092075455024496,Opposition,negative,0.9303489923477173
HillaryClinton,"Trump says he wants to ""make America great again,"" but his real message remains “make America hate again.” https://t.co/7u3h7PSIXZ",False,,2016-08-25 20:01:17,,,False,2297,5248,"Trump says he wants to ""make America great again,"" but his real message remains “make America hate again.” ",6.681197,4.135477,8.5657928612523,13.19431956381241,Opposition,negative,0.7739627361297607
HillaryClinton,"Let this sink in. To hate groups, Trump's language doesn't come across as coded. https://t.co/oHFFVRgGG5",True,TheBriefing2016,2016-08-25 19:52:41,,,False,1409,2175,"Let this sink in. To hate groups, Trump's language doesn't come across as coded. ",4.473082,4.4810677,7.685243607975833,11.210810141021824,Opposition,negative,0.5396798253059387
HillaryClinton,"This election is too important for anyone to sit out.

Text JOIN to 47246 or go to https://t.co/L7Dd6Uu8yR. Let’s go win this, together.",False,,2016-08-25 19:42:53,,,False,1229,2802,"This election is too important for anyone to sit out.

Text JOIN to 47246 or go to  Let’s go win this, together.",4.4323807,4.4503255,7.938445551164788,10.71150827478199,Opposition,positive,0.6286025643348694
HillaryClinton,"Our rising generation of young Americans is the most open, diverse, and connected we’ve ever seen.",False,,2016-08-25 19:41:57,,,False,1349,3796,"Our rising generation of young Americans is the most open, diverse, and connected we’ve ever seen.",4.5665708,4.4504004,8.241966560231802,11.049364909617035,Opposition,positive,0.9732816219329834
HillaryClinton,"""Every day, more Americans are standing up and saying 'enough is enough'—including a lot of Republicans. I’m honored to have their support.""",False,,2016-08-25 19:40:51,HillaryClinton,7.688958243906601e+17,False,1251,3477,"""Every day, more Americans are standing up and saying 'enough is enough'—including a lot of Republicans. I’m honored to have their support.""",6.9388423,-1.034892,8.154212694914229,10.775045264065177,Security,positive,0.9662178754806519
HillaryClinton,"In 2008, John McCain told his own supporters that Barack Obama is an American citizen and ""a decent person.""",False,,2016-08-25 19:40:24,HillaryClinton,7.688956480999219e+17,False,1226,3455,"In 2008, John McCain told his own supporters that Barack Obama is an American citizen and ""a decent person.""",4.6916804,0.6173045,8.147867129923947,10.702785544316045,Endorsement,neutral,0.7079464197158813
HillaryClinton,"The week after 9/11, George W. Bush went to a mosque and declared for everyone to hear that Muslims 'love America just as much as I do.'",False,,2016-08-25 19:39:42,HillaryClinton,7.68895538267906e+17,False,1163,2463,"The week after 9/11, George W. Bush went to a mosque and declared for everyone to hear that Muslims 'love America just as much as I do.'",2.708622,4.2086034,7.80954132465341,10.516225857767443,Engagement,positive,0.4905046820640564
HillaryClinton,"20 years ago, when Bob Dole accepted the Republican nomination, he pointed to the exits and told any racists in the Party to get out.",False,,2016-08-25 19:39:16,,,False,3211,9840,"20 years ago, when Bob Dole accepted the Republican nomination, he pointed to the exits and told any racists in the Party to get out.",4.9061146,-0.94301933,9.194312610898985,14.752991828233066,Security,negative,0.5317468643188477
HillaryClinton,"There’s an old Mexican proverb that says “Tell me with whom you walk, and I will tell you who you are.”

We know who Trump is.",False,,2016-08-25 19:36:38,,,False,12399,19391,"There’s an old Mexican proverb that says “Tell me with whom you walk, and I will tell you who you are.”

We know who Trump is.",1.7439382,0.14275257,9.87261588886904,23.145268327173422,Endorsement,neutral,0.8017673492431641
HillaryClinton,A fringe element has effectively taken over Trump’s campaign and the Republican Party. https://t.co/vJNBtpjpde,False,,2016-08-25 19:34:30,,,False,1424,2576,A fringe element has effectively taken over Trump’s campaign and the Republican Party. ,4.569509,4.2336946,7.854381210652365,11.250452656683713,Opposition,negative,0.5287140607833862
HillaryClinton,"Trump hired the head of Breitbart ""News"" to be CEO of his campaign. Here's a sample of their work: https://t.co/y8loOnkbNu",False,,2016-08-25 19:32:25,,,False,12744,16055,"Trump hired the head of Breitbart ""News"" to be CEO of his campaign. Here's a sample of their work: ",5.4316835,-0.5496413,9.683837890476173,23.357978495239564,Security,neutral,0.9261085391044617
HillaryClinton,"Trump likes to say he only hires the ""best people,"" but he’s had to fire so many campaign managers it’s like an episode of the Apprentice.",False,,2016-08-25 19:31:25,,,False,6060,17272,"Trump likes to say he only hires the ""best people,"" but he’s had to fire so many campaign managers it’s like an episode of the Apprentice.",5.965342,-0.14950289,9.756899867693285,18.23157582671697,Security,negative,0.6815759539604187
HillaryClinton,"Trump would ban every Muslim around the world—1.5 billion men, women, and children—from entering the U.S. just because of their religion.",False,,2016-08-25 19:30:37,,,False,1940,5079,"Trump would ban every Muslim around the world—1.5 billion men, women, and children—from entering the U.S. just because of their religion.",5.7105603,0.41746888,8.533066540572527,12.471937044791122,Endorsement,negative,0.7164242267608643
HillaryClinton,"Trump would abolish this bedrock constitutional principle: if you’re born in the U.S., you’re an American citizen. https://t.co/JYJqHhMjsK",False,,2016-08-25 19:29:58,,,False,1223,2277,"Trump would abolish this bedrock constitutional principle: if you’re born in the U.S., you’re an American citizen. ",5.7536526,0.3920755,7.731053144007127,10.694048572641698,Endorsement,negative,0.49301379919052124
HillaryClinton,Trump would form an armed deportation force to round up millions of immigrants and kick them out of the country. https://t.co/UNOvmzzaDO,False,,2016-08-25 19:29:21,,,False,1022,2014,Trump would form an armed deportation force to round up millions of immigrants and kick them out of the country. ,4.4224668,4.4132967,7.608374474380783,10.07280203352255,Opposition,negative,0.7941680550575256
HillaryClinton,Look at the policies Trump has proposed—they would put prejudice into practice. https://t.co/2AJqkb8JUs,False,,2016-08-25 19:28:36,,,False,759,1645,Look at the policies Trump has proposed—they would put prejudice into practice. ,4.450701,0.79276276,7.406103381237015,9.121800967815446,Endorsement,negative,0.7599251866340637
HillaryClinton,Donald Trump is temperamentally unfit to be president of the United States.,False,,2016-08-25 19:28:07,,,False,1822,4981,Donald Trump is temperamentally unfit to be president of the United States.,4.436732,4.4186807,8.513586695822125,12.21376212822173,Opposition,negative,0.9053235054016113
HillaryClinton,Someone as detached from reality as Donald Trump should never be in charge of making decisions that are as real as they come.,False,,2016-08-25 19:27:23,,,False,1844,5458,Someone as detached from reality as Donald Trump should never be in charge of making decisions that are as real as they come.,7.5645533,4.756544,8.605020901781758,12.262724526150073,Opposition,negative,0.8600323796272278
HillaryClinton,"Trump suggested that Ted Cruz’s father was involved in the Kennedy assassination.

Of course there’s absolutely no evidence of that.",False,,2016-08-25 19:26:50,,,False,1141,3939,"Trump suggested that Ted Cruz’s father was involved in the Kennedy assassination.

Of course there’s absolutely no evidence of that.",6.5819325,-0.39510334,8.27893600229198,10.449492889931228,Security,negative,0.6717584133148193
HillaryClinton,"Trump claimed that thousands of American Muslims in New Jersey cheered the 9/11 attacks.

They didn’t. https://t.co/mrFBlDza6y",False,,2016-08-25 19:25:59,,,False,979,2142,"Trump claimed that thousands of American Muslims in New Jersey cheered the 9/11 attacks.

They didn’t. ",9.473887,2.9807556,7.669961995473577,9.929504202047006,Opposition,negative,0.5470312237739563
HillaryClinton,"When Donald Trump was asked about anti-Semitic slurs and death threats coming from his supporters, he refused to condemn them.",False,,2016-08-25 19:25:58,,,False,1412,3410,"When Donald Trump was asked about anti-Semitic slurs and death threats coming from his supporters, he refused to condemn them.",4.793709,4.524975,8.134760782418645,11.218761072865082,Opposition,negative,0.8281446099281311
HillaryClinton,"Trump refused to disavow the support of David Duke, a notorious former leader of the Ku Klux Klan. https://t.co/PD8bNwuS3c",False,,2016-08-25 19:24:53,,,False,2371,4195,"Trump refused to disavow the support of David Duke, a notorious former leader of the Ku Klux Klan. ",11.436423,-0.6805415,8.341886969516187,13.334513784375954,Engagement,negative,0.673941433429718
HillaryClinton,Trump famously posted an anti-Semitic graphic that first appeared on a white supremacist website. https://t.co/JgH87OylQC,False,,2016-08-25 19:24:06,,,False,848,1731,Trump famously posted an anti-Semitic graphic that first appeared on a white supremacist website. ,8.15308,-1.0866147,7.4570320891223805,9.465246982326736,Endorsement,negative,0.7705409526824951
